pid,ocr,jpg,chunk count,ignore count,ignore percentage,dictionary count,dictionary percentage (of total),dictionary percentage (of non-ignored)
hale:97565,https://hale.archives.caltech.edu/islandora/object/hale:97565/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:97565/datastream/JPG/view,845,790,93.49112426,17,2.01183432,30.90909091
hale:81880,https://hale.archives.caltech.edu/islandora/object/hale:81880/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:81880/datastream/JPG/view,97,76,78.35051546,2,2.06185567,9.523809524
hale:35440,https://hale.archives.caltech.edu/islandora/object/hale:35440/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:35440/datastream/JPG/view,1887,1821,96.50238474,43,2.278749338,65.15151515
hale:96448,https://hale.archives.caltech.edu/islandora/object/hale:96448/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:96448/datastream/JPG/view,43,36,83.72093023,1,2.325581395,14.28571429
hale:82175,https://hale.archives.caltech.edu/islandora/object/hale:82175/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:82175/datastream/JPG/view,255,226,88.62745098,6,2.352941176,20.68965517
hale:71767,https://hale.archives.caltech.edu/islandora/object/hale:71767/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:71767/datastream/JPG/view,552,521,94.38405797,13,2.355072464,41.93548387
hale:103524,https://hale.archives.caltech.edu/islandora/object/hale:103524/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:103524/datastream/JPG/view,2525,2388,94.57425743,63,2.495049505,45.98540146
hale:119897,https://hale.archives.caltech.edu/islandora/object/hale:119897/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:119897/datastream/JPG/view,39,26,66.66666667,1,2.564102564,7.692307692
hale:59705,https://hale.archives.caltech.edu/islandora/object/hale:59705/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:59705/datastream/JPG/view,77,67,87.01298701,2,2.597402597,20
hale:101803,https://hale.archives.caltech.edu/islandora/object/hale:101803/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:101803/datastream/JPG/view,805,761,94.53416149,21,2.608695652,47.72727273
hale:114751,https://hale.archives.caltech.edu/islandora/object/hale:114751/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:114751/datastream/JPG/view,151,32,21.19205298,4,2.649006623,3.361344538
hale:111293,https://hale.archives.caltech.edu/islandora/object/hale:111293/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:111293/datastream/JPG/view,459,433,94.33551198,14,3.050108932,53.84615385
hale:33229,https://hale.archives.caltech.edu/islandora/object/hale:33229/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:33229/datastream/JPG/view,98,90,91.83673469,3,3.06122449,37.5
hale:82232,https://hale.archives.caltech.edu/islandora/object/hale:82232/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:82232/datastream/JPG/view,259,238,91.89189189,8,3.088803089,38.0952381
hale:41550,https://hale.archives.caltech.edu/islandora/object/hale:41550/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:41550/datastream/JPG/view,291,266,91.40893471,9,3.092783505,36
hale:57263,https://hale.archives.caltech.edu/islandora/object/hale:57263/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:57263/datastream/JPG/view,1356,1264,93.21533923,42,3.097345133,45.65217391
hale:95223,https://hale.archives.caltech.edu/islandora/object/hale:95223/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:95223/datastream/JPG/view,379,350,92.34828496,12,3.166226913,41.37931034
hale:22659,https://hale.archives.caltech.edu/islandora/object/hale:22659/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:22659/datastream/JPG/view,1156,1079,93.33910035,38,3.287197232,49.35064935
hale:92085,https://hale.archives.caltech.edu/islandora/object/hale:92085/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:92085/datastream/JPG/view,617,568,92.05834684,21,3.40356564,42.85714286
hale:125951,https://hale.archives.caltech.edu/islandora/object/hale:125951/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:125951/datastream/JPG/view,235,212,90.21276596,8,3.404255319,34.7826087
hale:70536,https://hale.archives.caltech.edu/islandora/object/hale:70536/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:70536/datastream/JPG/view,117,108,92.30769231,4,3.418803419,44.44444444
hale:38795,https://hale.archives.caltech.edu/islandora/object/hale:38795/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:38795/datastream/JPG/view,698,650,93.12320917,24,3.438395415,50
hale:96420,https://hale.archives.caltech.edu/islandora/object/hale:96420/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:96420/datastream/JPG/view,29,15,51.72413793,1,3.448275862,7.142857143
hale:31107,https://hale.archives.caltech.edu/islandora/object/hale:31107/datastream/OCR/view,https://hale.archives.caltech.edu/islandora/object/hale:31107/datastream/JPG/view,167,147,88.0239521,6,3.592814371,30
